title,genre_id,platform_id,publisher_id,metacritic_score,release_date
Soul Blade,9,9,12,86,1997-01-01
LEGO Harry Potter: Years 1-4,11,4,15,79,2010-06-29
Far Cry 2,2,4,8,85,2008-10-21
Sonic Generations,10,1,21,73,2011-11-01
FIFA 16,4,4,3,90,2015-09-22
Devil May Cry 4,1,1,22,82,2008-02-05
LEGO Pirates of the Caribbean: The Video Game,1,8,36,75,2011-05-10
Pro Evolution Soccer 2010,4,3,27,72,2009-11-10
Twisted Metal,1,9,9,70,1995-11-05
Mortal Kombat,9,1,15,84,2011-04-19
Mafia II,1,4,34,72,2010-08-24
007: The World is Not Enough,2,19,4,74,2000-10-17
Guitar Hero 5,8,8,2,89,2009-09-01
BioShock 2,2,1,34,85,2010-02-09
Need for Speed: Most Wanted (2012),7,4,4,85,2012-10-30
Die Hard Trilogy,2,9,68,85,1996-08-31
Dark Cloud,5,3,9,82,2001-05-28
Go Vacation,8,8,54,70,2011-10-11
Fight Night Round 4,9,1,3,86,2009-06-23
Sonic Rivals 2,7,7,21,64,2007-11-13
Forza Motorsport 7,7,5,6,89,2017-10-03
Dead Space 2,2,4,4,91,2011-01-25
Call of Duty 3,2,1,2,77,2006-11-15
Call of Duty: Modern Warfare: Reflex Edition,2,8,2,72,2009-11-10
Star Wars: The Force Unleashed II,1,1,13,63,2010-10-26
Rock Band 2,8,1,42,89,2008-10-19
Football Manager 2012,4,6,21,85,2011-10-21
WWF No Mercy,9,19,32,91,2000-11-17
SoulCalibur II,9,23,12,92,2003-08-27
Red Faction II,2,3,32,86,2002-10-15
NFL Blitz,4,9,39,91,1998-09-12
Metal Gear Rising: Revengeance,1,1,37,90,2013-02-19
Dead Rising 2,1,4,22,82,2010-09-28
Mafia II,1,1,34,70,2010-08-24
LEGO Battles: Ninjago,13,10,15,50,2011-04-12
LEGO Star Wars III: The Clone Wars,1,4,13,79,2011-03-22
Disney Sing It: Pop Hits,8,8,36,68,2009-10-06
007: Quantum of Solace,2,4,2,66,2008-11-04
Tom Clancy's Splinter Cell: Pandora Tomorrow,1,14,8,92,2004-03-23
Sonic's Ultimate Genesis Collection,8,4,21,81,2009-02-10
Fight Night Round 3,9,4,3,86,2006-02-20
Minecraft,8,27,58,55,2016-06-17
Super Scribblenauts,14,10,15,79,2010-10-12
Battlefield: Bad Company,2,4,4,86,2008-06-23
Mass Effect 3,5,1,4,89,2012-03-06
Mass Effect 2,5,1,4,93,2011-01-18
Homefront,2,4,32,67,2011-03-15
Super Monkey Ball,14,23,21,90,2001-11-17
The House of the Dead 2 & 3 Return,2,8,21,65,2008-03-11
Sonic & SEGA All-Stars Racing,7,8,21,79,2010-02-23
Sega Genesis Collection,8,7,21,83,2006-11-16
Sonic Rivals,7,7,21,70,2006-11-16
Star Wars: The Force Unleashed II,1,4,13,63,2010-10-26
BioShock,2,1,34,93,2008-10-21
Kinect Joy Ride,7,4,5,56,2010-11-04
Dead Space 2,2,1,4,90,2011-01-25
WWE SmackDown vs Raw 2008,9,4,32,73,2007-11-13
Smarty Pants,8,8,4,65,2007-11-13
UFC Undisputed 2010,9,1,32,84,2010-05-25
Rayman Raving Rabbids,8,8,8,75,2006-11-14
LEGO Star Wars II: The Original Trilogy,1,7,13,84,2006-09-12
LEGO Indiana Jones 2: The Adventure Continues,11,8,13,75,2009-11-17
LEGO Star Wars: The Video Game,1,23,18,79,2005-10-25
Twisted Metal: Black,7,3,9,89,2001-06-18
2Xtreme,4,9,9,83,1996-10-31
Spider-Man: The Movie,1,14,2,77,2002-04-15
Anno 2070,13,6,8,87,2011-11-17
Fight Night Round 4,9,4,3,87,2009-06-23
Dead Space,2,4,4,89,2008-10-13
