title,platform,total_sales,na_sales,jp_sales,pal_sales,other_sales
The Elder Scrolls V: Skyrim Special Edition,PS4,3.36,1.24,0.08,1.5,0.54
Assassin's Creed IV: Black Flag,X360,3.34,1.9,0.01,1.14,0.3
NBA 2K18,PS4,3.34,2.13,0.04,0.57,0.59
Max Payne,PS2,3.31,1.99,0.05,1.05,0.22
Madden NFL 16,PS4,3.3,2.39,,0.31,0.61
The Lord of the Rings: The Return of the King,PS2,3.28,1.5,0.05,1.28,0.46
Madden NFL 17,PS4,3.28,2.3,,0.37,0.6
FIFA 16,XOne,3.25,0.92,,2.1,0.24
L.A. Noire,PS3,3.21,1.29,0.12,1.31,0.49
007: Tomorrow Never Dies,PS,3.21,1.72,,1.33,0.16
WWF SmackDown! 2: Know Your Role,PS,3.2,1.76,0.07,1.21,0.16
Assassin's Creed IV: Black Flag,PS4,3.19,1.07,0.06,1.55,0.51
Assassin's Creed Odyssey,PS4,3.18,1.18,0.09,1.4,0.51
Fallout: New Vegas,PS3,3.17,1.54,0.1,1.04,0.49
Club Penguin: Elite Penguin Force,DS,3.14,1.87,,0.97,0.3
FIFA 18,XOne,3.14,0.98,,1.92,0.23
The Elder Scrolls IV: Oblivion,PS3,3.12,1.69,0.14,0.86,0.44
Tom Clancy's Ghost Recon Wildlands,PS4,3.12,1.07,0.22,1.35,0.47
NBA 2K13,X360,3.11,2.62,0.01,0.21,0.28
Mass Effect 2,X360,3.1,1.99,0.03,0.81,0.27
LEGO Batman: The Videogame,Wii,3.08,1.8,,0.98,0.29
Saints Row 2,X360,3.07,1.98,0.02,0.79,0.28
Call of Duty: Ghosts,XOne,3.07,1.92,,0.86,0.28
LEGO Batman: The Videogame,DS,3.06,1.75,,1.02,0.29
Kung Fu Panda,X360,3.05,1.91,,0.84,0.29
Mass Effect 3,X360,3.04,1.94,0.03,0.84,0.24
Rayman,PS,3.03,1.54,,1.33,0.16
Tom Clancy's Splinter Cell,XB,3.02,1.85,,1.04,0.13
WWE SmackDown! vs. Raw 2006,PS2,3.0,1.57,,1.02,0.41
Battlefield: Bad Company 2,PS3,2.96,1.33,0.08,1.11,0.44
Street Fighter IV,X360,2.95,1.83,0.15,0.7,0.26
Madden NFL 13,X360,2.93,2.53,,0.16,0.24
FIFA 15,X360,2.91,0.8,,1.9,0.21
Mass Effect,X360,2.91,1.83,0.03,0.79,0.27
Mortal Kombat (2011),PS3,2.9,1.98,,0.54,0.38
Cooking Mama: Cook Off,Wii,2.89,1.41,0.05,1.12,0.3
Sega Superstars Tennis,X360,2.89,1.75,,0.86,0.28
Imagine: Babyz,DS,2.87,1.3,,1.26,0.31
Colin McRae Rally,PS,2.87,0.09,0.12,2.43,0.22
Mafia III,PS4,2.87,0.72,0.04,1.67,0.44
The Elder Scrolls III: Morrowind,XB,2.86,2.09,0.03,0.63,0.11
Assassin's Creed: Brotherhood,PS3,2.85,1.87,0.11,0.57,0.3
Madden NFL 10,X360,2.83,2.52,,0.09,0.22
BioShock,X360,2.83,1.65,0.05,0.85,0.28
Finding Nemo,GBA,2.82,1.59,0.04,1.05,0.14
Gran Turismo (PSP),PSN,2.82,0.43,0.31,0.91,1.16
Medal of Honor,PS3,2.82,1.28,0.07,1.04,0.43
Imagine: Fashion Designer,DS,2.81,1.32,,1.19,0.3
Need for Speed: Hot Pursuit,PS3,2.81,1.05,0.03,1.24,0.49
Killzone 3,PS3,2.81,1.46,0.09,0.87,0.38
Skylanders: Spyro's Adventure,Wii,2.79,1.35,,1.15,0.3
A Bug's Life,PS,2.79,1.96,,0.72,0.11
Star Wars: The Force Unleashed,X360,2.77,1.74,,0.78,0.26
Saints Row: The Third,X360,2.77,1.26,0.07,1.14,0.3
Battlefield 3,PC,2.76,0.89,,1.44,0.43
Need for Speed: Most Wanted (2012),PS3,2.74,0.71,0.06,1.52,0.45
Far Cry: Primal,PS4,2.73,0.63,0.07,1.61,0.41
L.A. Noire,X360,2.73,1.55,0.02,0.92,0.24
Overwatch,XOne,2.72,1.63,,0.84,0.25
Need for Speed (2015),PS4,2.72,0.59,0.06,1.66,0.41
Skate 3,X360,2.71,1.47,,0.99,0.25
Madden NFL 13,PS3,2.71,2.12,,0.24,0.36
Madden NFL 12,X360,2.7,2.43,,0.11,0.16
Call of Duty 3,X360,2.7,1.49,0.02,0.92,0.27
LEGO Star Wars II: The Original Trilogy,PS2,2.69,1.85,0.01,0.64,0.19
Madden NFL 11,X360,2.69,2.38,,0.12,0.19
Burnout 3: Takedown,PS2,2.68,1.23,,1.11,0.34
Medal of Honor,PS,2.67,1.44,,1.09,0.14
Call of Duty 2: Big Red One,PS2,2.67,1.48,0.01,0.92,0.26
Final Fantasy XIII-2,PS3,2.66,0.78,0.89,0.75,0.23
Medal of Honor Heroes,PSP,2.66,0.86,0.01,1.11,0.67
Guitar Hero: World Tour,X360,2.66,1.78,,0.64,0.25
Need for Speed: Shift,PS3,2.65,0.69,0.04,1.4,0.52
Hannah Montana,DS,2.65,1.59,,0.8,0.26
Medal of Honor,X360,2.64,1.58,0.04,0.8,0.22
NBA 2K12,X360,2.64,2.32,0.01,0.14,0.17
NBA 2K13,PS3,2.63,1.74,0.05,0.46,0.39
FIFA Soccer 10,X360,2.62,0.6,0.01,1.79,0.23
Madden NFL 18,PS4,2.62,1.73,,0.42,0.47
LittleBigPlanet,PSP,2.61,0.65,0.01,1.27,0.68
Grand Theft Auto: Episodes from Liberty City,X360,2.6,1.08,0.03,1.22,0.27
FIFA Soccer 09,PS3,2.59,0.49,0.04,1.63,0.43
WWE SmackDown vs. RAW 2007,PS2,2.58,1.4,0.03,0.88,0.26
Dragon Age: Origins,X360,2.56,1.76,0.03,0.55,0.22
FIFA 16,PS3,2.55,0.43,0.05,1.68,0.38
Madden NFL 09,X360,2.54,2.21,,0.12,0.2
Crazy Taxi,PS2,2.52,1.13,0.06,1.12,0.22
Tomb Raider (2013),PS3,2.51,0.6,0.08,1.45,0.38
Midnight Club: Los Angeles,PS3,2.5,1.59,0.05,0.54,0.33
Marvel: Ultimate Alliance,X360,2.5,2.29,,0.02,0.19
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2.49,1.84,,0.56,0.09
Mortal Kombat: Deadly Alliance,PS2,2.49,1.81,,0.52,0.15
Game Party,Wii,2.49,1.47,,0.77,0.24
Saints Row: The Third,PS3,2.48,0.86,0.18,1.06,0.37
Madden NFL 16,XOne,2.47,2.13,,0.08,0.26
Rock Band,X360,2.47,1.93,,0.33,0.21
Pure,X360,2.47,1.38,0.0,0.84,0.25
LEGO Harry Potter: Years 1-4,Wii,2.45,1.29,,0.94,0.22
Madden NFL 17,XOne,2.44,2.14,,0.04,0.26
Twisted Metal 2,PS,2.44,2.12,,0.25,0.07
Tom Clancy's Rainbow Six: Vegas 2,X360,2.42,1.56,0.02,0.61,0.23
Sonic Adventure,DC,2.42,1.26,0.46,0.61,0.08
Need for Speed Carbon: Own the City,PSP,2.42,0.87,,0.97,0.58
Halo: Combat Evolved Anniversary,X360,2.41,1.44,0.04,0.71,0.22
Kinect: Disneyland Adventures,X360,2.41,1.73,0.02,0.43,0.23
Pro Evolution Soccer 2011,PS3,2.41,0.29,0.54,1.18,0.41
NBA 2K16,XOne,2.41,2.01,,0.15,0.25
ATV Offroad Fury,PS2,2.41,2.07,,0.26,0.08
Midnight Club: Los Angeles,X360,2.4,1.72,0.01,0.45,0.22
Madden NFL 11,PS3,2.4,2.05,,0.15,0.2
Theme Hospital,PC,2.4,2.3,,0.1,
Frogger's Adventures: Temple of the Frog,GBA,2.39,2.15,,0.18,0.07
Dead Island,X360,2.38,1.48,,0.7,0.21
The Incredibles,PS2,2.37,0.96,0.04,1.08,0.3
Madden NFL 10,PS3,2.37,2.03,,0.13,0.21
Madden NFL 08,X360,2.37,2.18,,0.01,0.18
Sonic's Ultimate Genesis Collection,PS3,2.36,1.39,,0.64,0.33
LEGO Indiana Jones: The Original Adventures,Wii,2.35,1.51,,0.62,0.22
Dragon Age: Inquisition,PS4,2.34,1.07,0.08,0.8,0.38
Kinect Sports: Season Two,X360,2.33,1.38,0.02,0.72,0.21
Madden NFL 25,X360,2.33,2.02,,0.07,0.25
Grand Theft Auto,PS,2.32,0.79,0.04,1.35,0.14
My Fitness Coach,Wii,2.32,1.18,,0.9,0.24
Assassin's Creed IV: Black Flag,XOne,2.32,1.51,,0.59,0.22
The Sims 3,X360,2.31,1.28,0.0,0.82,0.2
LEGO Star Wars: The Complete Saga,PS3,2.31,1.02,,0.93,0.36
Dead Island,PS3,2.29,1.08,0.15,0.74,0.32
Tomb Raider II,PC,2.29,0.91,,1.25,0.13
LEGO Harry Potter: Years 1-4,DS,2.29,1.07,,1.0,0.22
Pro Evolution Soccer 2010,PS3,2.28,0.3,0.46,1.27,0.26
Need for Speed Underground 2,XB,2.28,1.38,,0.8,0.1
Madden NFL 12,PS3,2.27,1.93,,0.15,0.18
No Man's Sky,PS4,2.26,0.89,0.04,0.97,0.37
Guitar Hero III: Legends of Rock,PS3,2.25,1.4,0.02,0.53,0.3
Call of Duty 3,Wii,2.24,1.17,,0.84,0.23
Prince of Persia: The Sands of Time,PS2,2.22,0.88,,1.03,0.31
Star Wars: The Force Unleashed,PS3,2.22,1.01,,0.86,0.35
Guitar Hero II,X360,2.21,2.01,,0.02,0.17
Rock Band 2,X360,2.2,1.78,,0.24,0.18
Need for Speed: Hot Pursuit,X360,2.2,1.03,0.0,0.96,0.21
BioShock 2,X360,2.2,1.45,0.02,0.54,0.2
High School Musical: Makin' the Cut!,DS,2.2,1.06,,0.9,0.23
FIFA 15,XOne,2.19,0.64,,1.39,0.16
Pro Evolution Soccer 2012,PS3,2.19,0.34,0.55,0.97,0.32
Star Wars: Knights of the Old Republic,XB,2.19,1.68,,0.44,0.08
Final Fantasy XIII,X360,2.19,1.3,0.01,0.67,0.21
Need for Speed: Payback,PS4,2.18,0.62,0.04,1.18,0.34
ATV Offroad Fury 2,PS2,2.18,1.92,,0.2,0.06
Your Shape featuring Jenny McCarthy,Wii,2.16,1.5,,0.46,0.19
Call of Duty: Roads to Victory,PSP,2.14,0.52,,1.03,0.59
SimCity 2000,PC,2.14,1.2,,0.84,0.1
NBA 2K12,PS3,2.13,1.62,0.05,0.27,0.18
Borderlands,PS3,2.12,1.22,,0.61,0.29
Mortal Kombat (2011),X360,2.12,1.64,,0.31,0.17
Tony Hawk's Pro Skater,N64,2.11,1.68,,0.4,0.03
Need for Speed: Hot Pursuit 2,PS2,2.11,1.68,0.02,0.31,0.09
PES 2009: Pro Evolution Soccer,PS3,2.11,0.11,0.4,1.34,0.26
NBA 2K11,X360,2.11,1.86,0.01,0.12,0.13
Grand Theft Auto: Episodes from Liberty City,PS3,2.09,0.62,0.13,0.99,0.34
Need for Speed: Most Wanted 5-1-0,PSP,2.09,1.77,0.02,0.13,0.17
Metal Gear Solid: Peace Walker,PSP,2.08,0.46,0.96,0.42,0.25
Rock Band,Wii,2.08,1.33,,0.56,0.2
Sim Theme Park,PC,2.08,2.04,,0.04,
Portal 2,X360,2.08,1.41,0.01,0.49,0.17
UFC 2009 Undisputed,X360,2.07,1.48,0.0,0.39,0.19
The Sims 2: Pets,DS,2.07,0.92,,0.93,0.22
Call of Duty 2,X360,2.06,1.84,0.01,0.04,0.16
R4: Ridge Racer Type 4,PS,2.06,0.68,0.79,0.46,0.13
The Incredibles,GBA,2.06,1.15,0.04,0.77,0.1
Tom Clancy's Splinter Cell: Conviction,X360,2.06,1.2,0.04,0.62,0.19
Need for Speed: Undercover,PS3,2.06,0.63,0.05,1.01,0.38
Dark Souls,PS3,2.05,0.75,0.54,0.53,0.22
Mortal Kombat vs DC Universe,PS3,2.05,1.52,,0.29,0.25
Need for Speed: ProStreet,X360,2.05,1.04,0.01,0.79,0.21
Dragon Quest XI: Echoes of an Elusive Age,PS4,2.04,0.29,1.43,0.22,0.1
PGR4 - Project Gotham Racing 4,X360,2.04,0.48,0.02,1.28,0.25
Need for Speed: ProStreet,PS3,2.04,0.73,0.04,0.91,0.36
NBA 2K17,XOne,2.04,1.7,,0.12,0.21
Dance Central 2,X360,2.04,1.45,0.01,0.41,0.16
Madden NFL 25,PS3,2.04,1.62,,0.03,0.38
Rayman Raving Rabbids: TV Party,Wii,2.03,0.72,,1.08,0.23
The Sims 3,PS3,2.03,0.73,0.02,0.96,0.31
NBA 2K18,XOne,2.02,1.67,,0.14,0.21
Rocket League,PS4,2.02,0.37,,1.34,0.31
Just Dance 3,X360,2.02,1.47,,0.39,0.16
Need for Speed: The Run,PS3,2.01,0.58,0.03,1.05,0.35
TouchMaster,DS,2.0,0.48,,1.27,0.24
Dead Space,PS3,2.0,1.05,,0.66,0.29
Tenchu: Stealth Assassins,PS,1.99,0.95,0.27,0.64,0.13
Harry Potter and the Chamber of Secrets,GBA,1.99,1.21,0.05,0.64,0.09
Mortal Kombat vs DC Universe,X360,1.99,1.58,,0.23,0.18
Just Cause 3,PS4,1.98,0.53,0.09,1.07,0.3
Hot Shots Golf: Open Tee,PSP,1.96,0.5,0.63,0.5,0.33
Tom Clancy's Rainbow Six: Vegas,X360,1.95,1.09,0.02,0.65,0.2
Grand Theft Auto: San Andreas,XB,1.95,1.26,,0.61,0.09
Burnout Paradise,PS3,1.95,1.01,0.02,0.63,0.28
Call of Duty: World at War,Wii,1.94,1.17,,0.58,0.18
FIFA Soccer 09,X360,1.94,0.49,0.01,1.26,0.18
X-Men Legends,PS2,1.93,1.0,,0.72,0.21
The Legend of Zelda: Oracle of Ages,GBC,1.92,0.92,0.41,0.53,0.06
Guitar Hero: World Tour,PS3,1.92,1.1,,0.55,0.27
Red Faction,PS2,1.92,0.76,,0.96,0.2
Madden NFL 18,XOne,1.91,1.63,,0.07,0.2
Need for Speed: Shift,X360,1.91,0.73,0.01,0.96,0.22
Star Wars Rogue Leader: Rogue Squadron II,GC,1.9,1.03,0.03,0.75,0.09
Tomb Raider (2013),X360,1.9,0.86,0.01,0.87,0.16
Madden NFL 09,PS3,1.89,1.56,0.0,0.15,0.18
Minecraft,NS,1.89,0.69,0.52,0.56,0.12
Mortal Kombat: Deception,PS2,1.88,0.92,,0.72,0.24
FIFA 2000,PS,1.87,0.22,0.04,1.47,0.14
inFAMOUS 2,PS3,1.87,1.05,0.08,0.48,0.26
SingStar,PS2,1.86,,,1.37,0.49
The Legend of Dragoon,PS,1.86,0.94,0.39,0.44,0.1
Sonic Classic Collection,DS,1.86,0.94,,0.74,0.18
The Legend of Zelda: Oracle of Seasons,GBC,1.86,0.87,0.41,0.52,0.06
The Evil Within,PS4,1.86,0.56,0.11,0.9,0.28
Shrek 2,PS2,1.86,1.12,0.03,0.69,0.02
