game_id,na_sales,jp_sales,pal_sales,other_sales,total_sales
469,0.94,,0.43,0.14,1.51
470,0.8,,0.5,0.21,1.51
471,1.13,,0.2,0.16,1.5
472,0.02,,1.16,0.32,1.5
473,1.2,0.02,0.27,0.02,1.5
474,0.99,0.11,0.32,0.08,1.5
475,0.49,,0.78,0.23,1.5
476,1.41,,0.05,0.04,1.5
477,0.47,0.44,0.41,0.18,1.5
478,0.75,0.09,0.53,0.13,1.49
479,0.5,0.04,0.7,0.25,1.49
480,1.03,,0.33,0.12,1.48
481,0.84,,0.51,0.13,1.48
482,1.07,,0.28,0.12,1.48
483,0.82,0.01,0.51,0.14,1.48
484,0.82,,0.59,0.07,1.48
485,0.9,,0.44,0.14,1.48
486,1.33,0.01,0.03,0.1,1.47
487,0.5,0.38,0.49,0.09,1.47
488,1.06,,0.3,0.11,1.47
489,0.81,0.04,0.46,0.15,1.46
490,0.65,0.03,0.58,0.2,1.46
491,0.78,0.03,0.46,0.18,1.46
492,0.83,0.02,0.48,0.12,1.46
493,0.95,0.1,0.37,0.04,1.46
494,0.77,0.03,0.5,0.15,1.45
495,0.61,,0.69,0.15,1.45
496,0.53,,0.58,0.34,1.45
497,0.73,,0.43,0.28,1.44
498,0.95,,0.37,0.12,1.44
499,0.75,0.01,0.48,0.21,1.44
500,0.92,0.0,0.39,0.12,1.43
501,0.73,,0.49,0.21,1.43
502,0.92,0.0,0.38,0.13,1.43
503,0.52,,0.75,0.16,1.43
504,0.8,0.02,0.4,0.19,1.42
505,1.22,0.02,0.07,0.11,1.42
506,0.58,,0.51,0.32,1.41
507,0.9,,0.38,0.13,1.41
508,1.09,,0.28,0.04,1.41
509,1.19,,0.17,0.05,1.41
510,1.15,,0.2,0.05,1.4
511,1.07,,0.28,0.05,1.4
512,,,1.14,0.26,1.4
513,0.95,,0.33,0.13,1.4
514,0.89,,0.39,0.13,1.4
515,0.71,0.0,0.54,0.13,1.39
516,1.26,,0.02,0.1,1.38
517,0.52,,0.75,0.11,1.38
518,0.49,,0.56,0.33,1.38
519,0.77,0.02,0.47,0.12,1.38
520,0.43,0.01,0.69,0.26,1.38
521,0.5,0.07,0.6,0.22,1.38
522,0.43,0.15,0.57,0.22,1.37
523,0.55,,0.61,0.21,1.37
524,0.8,,0.46,0.12,1.37
525,0.73,0.02,0.5,0.13,1.37
526,0.63,0.0,0.57,0.16,1.37
527,0.76,,0.52,0.09,1.37
528,0.85,0.13,0.28,0.1,1.36
529,0.63,,0.66,0.07,1.36
530,0.76,0.0,0.6,,1.36
531,0.81,0.11,0.28,0.15,1.36
532,0.55,0.01,0.58,0.22,1.36
533,0.7,,0.52,0.13,1.36
534,0.79,0.01,0.42,0.13,1.36
535,0.2,,0.76,0.39,1.35
536,0.23,0.02,0.73,0.37,1.35
537,0.63,0.01,0.57,0.14,1.35
538,0.76,0.05,0.36,0.17,1.34
539,0.25,0.08,0.75,0.26,1.34
540,0.65,,0.51,0.17,1.34
541,0.84,0.24,0.22,0.04,1.34
542,0.67,0.13,0.36,0.18,1.34
543,1.22,0.05,0.05,0.01,1.34
544,1.32,,0.02,,1.34
545,0.66,0.04,0.45,0.2,1.34
546,0.79,0.08,0.34,0.13,1.34
547,0.62,0.01,0.5,0.2,1.33
548,0.66,0.05,0.5,0.12,1.33
549,0.48,0.06,0.57,0.22,1.33
550,0.58,0.05,0.56,0.14,1.33
551,0.92,0.01,0.35,0.05,1.33
552,0.9,0.01,0.38,0.05,1.33
553,0.52,0.1,0.49,0.2,1.32
554,0.47,0.06,0.59,0.2,1.32
555,0.77,0.09,0.3,0.16,1.32
556,0.9,0.0,0.31,0.11,1.32
557,0.69,0.02,0.38,0.24,1.32
558,0.78,,0.45,0.07,1.31
559,0.97,,0.23,0.11,1.31
560,0.84,,0.35,0.12,1.31
561,0.72,,0.39,0.19,1.31
562,0.84,,0.43,0.04,1.31
563,0.57,,0.46,0.27,1.3
564,1.07,0.02,0.04,0.17,1.3
565,0.63,,0.49,0.16,1.29
566,0.4,0.13,0.58,0.19,1.29
567,0.63,,0.49,0.16,1.28
568,0.63,,0.49,0.16,1.28
569,1.07,,0.16,0.04,1.28
570,0.45,0.02,0.66,0.15,1.28
571,0.49,0.26,0.38,0.13,1.27
572,0.72,,0.03,0.52,1.27
573,1.0,,0.16,0.11,1.27
574,0.76,,0.4,0.11,1.27
575,0.74,0.0,0.4,0.12,1.27
576,0.58,0.21,0.4,0.08,1.27
577,1.22,,0.05,,1.27
578,0.94,0.02,0.17,0.14,1.26
579,0.39,,0.73,0.15,1.26
580,0.43,0.05,0.5,0.28,1.26
581,,,1.01,0.24,1.26
582,0.45,0.05,0.55,0.21,1.26
583,1.19,,0.06,,1.25
584,0.68,0.04,0.41,0.12,1.25
585,1.01,0.03,0.04,0.16,1.25
586,1.0,0.02,0.13,0.1,1.25
587,0.49,,0.62,0.14,1.25
588,0.49,0.03,0.51,0.2,1.24
589,0.75,,0.44,0.06,1.24
590,0.65,,0.41,0.18,1.24
591,0.3,0.07,0.64,0.22,1.23
592,0.6,,0.47,0.16,1.23
593,0.79,0.12,0.27,0.04,1.23
594,1.05,0.01,0.06,0.1,1.22
595,1.13,,0.05,0.03,1.22
596,0.13,1.0,0.07,0.02,1.22
597,0.98,,0.19,0.05,1.22
598,0.72,,0.28,0.2,1.21
599,0.25,,0.64,0.32,1.21
600,0.44,0.21,0.4,0.16,1.21
601,0.13,0.01,0.7,0.36,1.21
602,1.12,,0.05,0.02,1.2
603,0.12,0.11,0.75,0.23,1.2
604,1.0,,0.04,0.16,1.2
605,0.36,0.17,0.5,0.17,1.2
606,0.49,,0.51,0.2,1.2
607,0.44,0.05,0.52,0.19,1.2
608,0.01,0.31,0.88,,1.2
609,0.18,0.27,0.66,0.08,1.19
610,0.45,,0.47,0.28,1.19
611,0.86,0.01,0.27,0.04,1.19
612,0.38,0.38,0.35,0.09,1.19
613,0.52,,0.47,0.19,1.18
614,0.53,0.02,0.45,0.17,1.18
615,0.66,,0.45,0.08,1.18
616,0.85,,0.31,0.02,1.18
617,0.47,0.06,0.45,0.19,1.18
618,0.4,,0.49,0.3,1.18
619,0.48,0.01,0.48,0.19,1.17
620,0.57,,0.45,0.15,1.17
621,0.74,0.02,0.38,0.03,1.17
622,0.74,0.02,0.26,0.15,1.17
623,0.5,0.02,0.39,0.25,1.16
624,0.54,,0.5,0.12,1.16
625,0.16,0.01,0.68,0.31,1.16
626,0.03,,1.06,0.07,1.16
627,0.39,0.43,0.27,0.08,1.16
628,0.78,,0.28,0.1,1.16
629,0.51,0.01,0.51,0.12,1.16
630,0.64,0.0,0.42,0.1,1.16
631,0.83,,0.28,0.05,1.16
632,0.67,0.06,0.32,0.1,1.15
633,0.14,0.88,0.11,0.02,1.15
634,,,1.12,0.03,1.15
635,0.31,0.76,0.03,0.04,1.14
636,0.71,,0.38,0.05,1.14
637,0.9,,0.23,0.02,1.14
638,0.25,0.65,0.17,0.07,1.14
639,0.78,0.2,0.03,0.13,1.14
640,0.64,,0.43,0.07,1.14
641,0.61,,0.44,0.09,1.14
642,0.85,,0.19,0.1,1.14
643,0.82,,0.3,0.02,1.14
644,0.43,0.02,0.51,0.19,1.14
645,1.01,,,0.12,1.13
646,0.53,0.09,0.38,0.13,1.13
647,0.25,,0.74,0.14,1.13
648,0.45,,0.5,0.18,1.13
649,0.65,,0.37,0.11,1.13
650,0.85,0.01,0.19,0.08,1.13
651,0.5,0.06,0.4,0.16,1.13
652,0.54,0.0,0.5,0.09,1.13
653,0.81,,0.3,0.02,1.13
654,0.31,0.02,0.59,0.21,1.13
655,0.82,,0.26,0.04,1.12
656,0.63,0.02,0.36,0.1,1.12
657,0.64,,0.38,0.1,1.12
658,0.33,0.01,0.53,0.25,1.12
659,0.72,0.01,0.29,0.09,1.12
660,0.67,,0.29,0.15,1.12
661,1.03,0.01,0.0,0.08,1.12
662,0.54,,0.48,0.09,1.11
663,1.02,,,0.09,1.11
664,0.44,0.02,0.57,0.09,1.11
665,0.5,0.1,0.37,0.15,1.11
666,0.68,,0.38,0.05,1.11
